Id;Ranking;Value
1214;177;0.1127057587626341
1008;44;0.07652327836130829
1215;178;0.02846504813938487
1002;41;0.02478689579968683
1090;123;0.02141052712813841
1001;40;0.017272813183053775
1000;39;0.016682761886687505
1056;89;0.014627847336767445
994;33;0.014297458030645556
992;31;0.013641309122285896
1004;42;0.011850219393630426
1099;132;0.01047870392267697
1059;92;0.010454550525964796
1093;126;0.010365160365780276
1005;43;0.010344967521566915
1091;124;0.010260427615821709
1094;127;0.00990509896143011
1063;96;0.009487434255558164
1092;125;0.00940957696953362
1058;91;0.009294582101848785
1087;120;0.008927562896170662
1057;90;0.008624986889697966
1100;133;0.00838501572964266
1060;93;0.008313819072032278
1185;167;0.008097434618051461
1065;98;0.007789781929612304
1088;121;0.007562600270897734
984;27;0.007550743505499951
1069;102;0.00749248776271812
979;24;0.0072137666524777775
1067;100;0.007114706617831118
982;26;0.0070963373341371375
1096;129;0.006899420536858849
993;32;0.00689545215278578
1101;134;0.006859494799366813
1062;95;0.006847976965664781
1066;99;0.006828302290151005
1070;103;0.006782829469931878
1181;163;0.006639808451929241
1095;128;0.006523495357265905
1053;86;0.006494723525902522
1097;130;0.006465799010140842
981;25;0.0063622852992927794
986;28;0.0061306343281731495
991;30;0.006087921930846701
978;23;0.005913081041683456
1068;101;0.005909436503399347
1213;176;0.005836203626073857
1098;131;0.0058273846045792934
1083;116;0.005764715672292687
1103;136;0.005594743938603954
1071;104;0.005502304961215679
1105;138;0.005448056215270683
1073;106;0.005380738305797958
1079;112;0.005364138720143482
965;11;0.005298084586426131
1102;135;0.005282302133870093
999;38;0.005200122679841187
1104;137;0.0050502639120265005
1072;105;0.005044182830426209
1064;97;0.005040414189726493
1082;115;0.004960679136713272
1075;108;0.00482315632400742
996;35;0.004772617121781983
1077;110;0.004706966147797477
1107;140;0.004691264072846429
1108;141;0.004661326186865298
1110;143;0.004642645695787557
1054;87;0.004638509065243886
1076;109;0.0046004069454886444
1106;139;0.0045951478175240874
971;17;0.004549096048815768
1022;56;0.004541324325810022
1084;117;0.0044595718123110455
1078;111;0.004438055421958966
1020;54;0.0044343772373875365
1025;59;0.0043822524813003395
1052;85;0.0043731642148313
1051;84;0.004366026778021229
1032;66;0.004346147032254734
1109;142;0.00431617622626629
1028;62;0.004296496139301542
1055;88;0.004294175759774942
1011;45;0.004255506873505394
1034;68;0.004202312552180703
1021;55;0.004172291693057721
1015;49;0.004149218800009059
1016;50;0.0041485348606668665
1074;107;0.004126655925190396
1030;64;0.004120743792633984
1085;118;0.00411038719567899
1017;51;0.004030138519473374
1027;61;0.003984267217337591
969;15;0.0039644138945738065
1080;113;0.003923496985673636
1044;78;0.0038540502351336924
1086;119;0.003831116410724901
968;14;0.0038078190674450934
1031;65;0.00377094323941072
1019;53;0.003767098752632125
1047;81;0.0037173656488813022
1023;57;0.0036983950123487533
1081;114;0.0036956126027797914
1033;67;0.0036874267858902562
1037;71;0.003646927624488607
1039;73;0.0035654549109790353
970;16;0.003527038565448631
1036;70;0.0035016083937117913
1012;46;0.0035011172168022808
1043;77;0.003495227681143305
1014;48;0.0034915016706946267
1024;58;0.0034632963141367004
1013;47;0.0034400048112032825
1038;72;0.0034259131028413657
1018;52;0.0033855375241015526
1061;94;0.0033227431149465466
1041;75;0.00332058306283736
1045;79;0.0033024755154604474
1029;63;0.0032250548806883363
1196;171;0.0032003746673040776
1048;82;0.0031641923503507394
961;7;0.0031490610515882388
1040;74;0.0031453727349197774
1042;76;0.0031447608677886586
1046;80;0.00308271941636897
1026;60;0.0030598767409624602
1049;83;0.0030572755521453337
1035;69;0.0030513222141175626
943;4;0.002879232272948733
1161;160;0.002870891433334491
1199;173;0.0028708392451100425
1211;175;0.0028670205061554835
974;20;0.002768619173519892
1141;159;0.002601276273369163
1194;170;0.002570583266828304
962;8;0.002567536323694119
1182;164;0.002507491369843217
967;13;0.002444615554899423
966;12;0.0023358612875734263
964;10;0.002314722989134067
963;9;0.0022501163020524177
995;34;0.0022491372572478515
998;37;0.0022168675752794464
958;5;0.002191636068046978
1201;174;0.002185916807849177
975;21;0.0021713725929450225
959;6;0.002094571599024717
1124;148;0.002062304739373226
938;1;0.002060347459015907
997;36;0.0020229260377130857
973;19;0.001987625106307008
942;3;0.0019743402878015103
972;18;0.0019157961381682668
941;2;0.0018549732524650868
1193;169;0.0017427878148061108
1164;162;0.0017322331693442326
1184;166;0.0017223685535181625
1135;157;0.001681225160358385
977;22;0.0016687395397316199
1162;161;0.0016625736613763125
1131;154;0.001624627657519282
1130;153;0.001608544893684805
916;0;0.0015945591740985207
1198;172;0.0015642916739337094
1116;145;0.0015459967365111463
1123;147;0.0015348525987773829
1111;144;0.0015335521332020558
1183;165;0.0014965041183805042
1186;168;0.0014840493972265128
1125;149;0.0014804448043782322
1122;146;0.0014611613412679504
1129;152;0.0014275412598378752
1134;156;0.0014245167141138772
1136;158;0.0014021401861563278
1132;155;0.001396456625758176
1127;151;0.0013758894757800837
1126;150;0.0013336178296134624
987;29;-0.012258269266271287
1089;122;-0.056361824918012005
